Timestamp,Event,SessionID,SessionName,LoopID,Source,Destination,Observer,Details
2025-07-12T21:30:57.449659,SocketIO Server Started,N/A,N/A,N/A,System,System,Orchestrator,
2025-07-12T21:30:59.927121,Client Connected,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Client,Server,Orchestrator,
2025-07-12T21:31:00.066034,Socket.IO Emit: session_name_update,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Server,Client,"User, Orchestrator","{""name"": ""New_Session_12JUL2025_093059PM""}"
2025-07-12T21:31:00.073005,Socket.IO Emit: request_session_list,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Client,Server,"User, Orchestrator",{}
2025-07-12T21:31:00.174156,Socket.IO Event Received: request_session_list,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Client,Server,Orchestrator,
2025-07-12T21:31:00.190977,Socket.IO Emit: session_list_update,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Server,Client,User,"{""status"": ""success"", ""sessions"": [{""name"": ""Ruby-MemoryFix"", ""summary"": ""Saved Session""}, {""name"": ""AuditTrailTest2"", ""summary"": ""Saved Session""}, {""name"": ""Memory-Test"", ""summary"": ""Saved Session""}, {""name"": ""AuditTrailTest"", ""summary"": ""Saved Session""}, {""name"": ""Ruby3"", ""summary"": ""Saved Session""}, {""name"": ""Ruby-Memory-Debug"", ""summary"": ""Saved Session""}, {""name"": ""Ruby"", ""summary"": ""Saved Session""}, {""name"": ""Ruby2"", ""summary"": ""Saved Session""}, {""name"": ""Language"", ""summary"": ""Saved Session""}]}"
2025-07-12T21:31:00.190977,Socket.IO Emit: request_api_stats,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Client,Server,"User, Orchestrator",{}
2025-07-12T21:31:00.192072,Socket.IO Event Received: request_api_stats,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Client,Server,Orchestrator,
2025-07-12T21:31:00.192986,Socket.IO Emit: api_usage_update,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Server,Client,User,"{""total_calls"": 266, ""total_prompt_tokens"": 10583915, ""total_completion_tokens"": 138894}"
2025-07-12T21:31:00.192986,Socket.IO Emit: request_session_name,c6KTZb5szDZPy9O8AAAB,New_Session_12JUL2025_093059PM,N/A,Client,Server,"User, Orchestrator",{}
